epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,942.636,0.92867,0.76551,1.11048,0.43459,0.43803,0.40137,0.30531,1.36705,2.198,1.44396,0.000415859,0.000415859,0.000415859
56,959.601,0.9217,0.74583,1.10184,0.47756,0.45826,0.42226,0.32801,1.3485,2.2255,1.42037,0.000406702,0.000406702,0.000406702
57,976.618,0.91303,0.74495,1.10183,0.41539,0.53711,0.44834,0.33981,1.37573,2.18611,1.45279,0.000397513,0.000397513,0.000397513
58,993.496,0.90989,0.73012,1.09983,0.47046,0.42509,0.405,0.31374,1.36752,2.3561,1.43403,0.0003883,0.0003883,0.0003883
59,1010.95,0.92086,0.72449,1.09416,0.43443,0.50762,0.44333,0.33962,1.38157,2.28021,1.44043,0.000379067,0.000379067,0.000379067
60,1027.88,0.88911,0.71274,1.08876,0.5145,0.44826,0.45037,0.34905,1.3886,2.23077,1.45994,0.000369822,0.000369822,0.000369822
61,1044.8,0.89873,0.70223,1.09114,0.45447,0.49169,0.45667,0.35007,1.35245,2.27768,1.43005,0.00036057,0.00036057,0.00036057
62,1061.82,0.88883,0.69866,1.08749,0.4338,0.46368,0.41404,0.32231,1.36914,2.25874,1.45321,0.000351318,0.000351318,0.000351318
63,1078.92,0.88575,0.68945,1.08371,0.49871,0.37701,0.40625,0.3196,1.38334,2.30511,1.45565,0.000342073,0.000342073,0.000342073
64,1096.06,0.87989,0.68346,1.07461,0.48907,0.43422,0.42694,0.33103,1.35979,2.3334,1.43073,0.00033284,0.00033284,0.00033284
65,1113.07,0.87484,0.67067,1.07284,0.51754,0.44457,0.43866,0.33754,1.36195,2.34285,1.45278,0.000323627,0.000323627,0.000323627
66,1130.16,0.86026,0.66102,1.0689,0.50922,0.43738,0.41736,0.32315,1.36284,2.27341,1.44695,0.000314438,0.000314438,0.000314438
67,1147.19,0.84573,0.64995,1.05962,0.49957,0.47618,0.45108,0.34804,1.362,2.26994,1.43736,0.000305281,0.000305281,0.000305281
68,1164.28,0.85239,0.64391,1.05845,0.49664,0.40604,0.41947,0.33037,1.34217,2.28952,1.41988,0.000296162,0.000296162,0.000296162
69,1181.37,0.84548,0.64683,1.05741,0.56055,0.44175,0.45824,0.36087,1.3977,2.45638,1.45507,0.000287088,0.000287088,0.000287088
70,1198.41,0.84031,0.64215,1.05355,0.59506,0.38237,0.42677,0.33713,1.37446,2.3144,1.46092,0.000278063,0.000278063,0.000278063
71,1215.43,0.82698,0.6299,1.05421,0.46848,0.42979,0.41736,0.33853,1.37462,2.37027,1.44524,0.000269096,0.000269096,0.000269096
72,1232.3,0.81326,0.6262,1.05047,0.47854,0.46029,0.42008,0.32272,1.40756,2.32098,1.47987,0.00026019,0.00026019,0.00026019
73,1249.43,0.82702,0.61686,1.04894,0.47177,0.47935,0.45092,0.35485,1.38137,2.33126,1.45856,0.000251354,0.000251354,0.000251354
74,1266.45,0.82121,0.60968,1.03955,0.48369,0.45774,0.42583,0.33043,1.3722,2.29795,1.44938,0.000242593,0.000242593,0.000242593
75,1283.43,0.81915,0.60864,1.03876,0.48733,0.48894,0.44709,0.35348,1.38827,2.29587,1.47161,0.000233912,0.000233912,0.000233912
76,1300.56,0.8128,0.59946,1.03874,0.4448,0.51084,0.43117,0.32909,1.39622,2.36392,1.47612,0.000225318,0.000225318,0.000225318
77,1317.58,0.79958,0.589,1.02373,0.42759,0.48517,0.41834,0.32849,1.39402,2.47879,1.46983,0.000216817,0.000216817,0.000216817
78,1334.62,0.79964,0.59285,1.03187,0.4743,0.47377,0.44375,0.34642,1.4089,2.35296,1.48326,0.000208414,0.000208414,0.000208414
79,1351.84,0.78371,0.57367,1.02333,0.50645,0.38576,0.39422,0.31102,1.40427,2.47497,1.48511,0.000200116,0.000200116,0.000200116
