epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1526.33,0.83993,0.80414,1.104,0.39564,0.46476,0.36282,0.27,1.4536,2.44803,1.5872,0.000342073,0.000342073,0.000342073
64,1550.34,0.8372,0.79176,1.10586,0.39089,0.46888,0.36379,0.26633,1.45363,2.40179,1.58895,0.00033284,0.00033284,0.00033284
65,1574.41,0.82587,0.77272,1.10126,0.36684,0.48054,0.34669,0.25099,1.4428,2.41573,1.57703,0.000323627,0.000323627,0.000323627
66,1598.53,0.81317,0.76828,1.09114,0.38949,0.45757,0.35911,0.26488,1.45254,2.41294,1.58594,0.000314438,0.000314438,0.000314438
67,1622.94,0.81421,0.75924,1.08129,0.40071,0.44878,0.35895,0.26669,1.45477,2.4782,1.59478,0.000305281,0.000305281,0.000305281
68,1646.61,0.81084,0.75261,1.08143,0.3997,0.44847,0.36261,0.268,1.44929,2.44242,1.58798,0.000296162,0.000296162,0.000296162
69,1670.59,0.79485,0.73575,1.07554,0.41173,0.41416,0.33454,0.2464,1.46673,2.47362,1.60776,0.000287088,0.000287088,0.000287088
70,1694.79,0.78937,0.72238,1.07102,0.39398,0.45771,0.35936,0.26424,1.46518,2.45482,1.61226,0.000278063,0.000278063,0.000278063
71,1718.77,0.78526,0.71889,1.06696,0.37714,0.46741,0.3452,0.25034,1.47072,2.47034,1.62008,0.000269096,0.000269096,0.000269096
72,1742.79,0.77582,0.70398,1.06143,0.38287,0.44118,0.34596,0.25697,1.47519,2.53097,1.62156,0.00026019,0.00026019,0.00026019
73,1766.9,0.76807,0.68712,1.05981,0.39043,0.48199,0.34851,0.25492,1.47971,2.52459,1.62356,0.000251354,0.000251354,0.000251354
74,1790.9,0.76417,0.68137,1.0518,0.39064,0.46159,0.35306,0.25831,1.4833,2.51285,1.6348,0.000242593,0.000242593,0.000242593
75,1814.89,0.76163,0.675,1.04613,0.37525,0.46029,0.33581,0.24368,1.46741,2.55647,1.62302,0.000233912,0.000233912,0.000233912
76,1838.93,0.7492,0.65843,1.04435,0.37698,0.44365,0.34248,0.25348,1.49414,2.60002,1.64145,0.000225318,0.000225318,0.000225318
77,1863.01,0.7492,0.65397,1.04151,0.38259,0.44743,0.34919,0.25574,1.49123,2.60533,1.62913,0.000216817,0.000216817,0.000216817
78,1887.11,0.73662,0.64783,1.03613,0.39191,0.45118,0.35048,0.25885,1.483,2.59161,1.63607,0.000208414,0.000208414,0.000208414
79,1911.22,0.73308,0.63545,1.0331,0.36611,0.46268,0.34654,0.25822,1.46363,2.56395,1.60646,0.000200116,0.000200116,0.000200116
